I,S,1,5,4,L,events,market,_id,date,1xbetEvents,1xbetligue,1xbetdate,1xbetstamp,Id1xbet,events1xbet
1.215382544,1687262400,1,AR,32434619,Argentinian U20,Argentinos Jrs. U20 v Sarmiento U20,Asian Handicap,6491a99cb564a1c579c01b7d,20 Jun 2023 14:00,"('Argentinos Juniors U20 v Club Atletico Sarmiento Junin U20', 78.6, 2)",Argentina Championship U20,20 Jun 2023 14:00,1687262400,458965415,Argentinos Juniors U20 v Club Atletico Sarmiento Junin U20
1.215382832,1687264200,1,BR,32434633,Brazilian U20,Atletico Goianiense U20 v Trindade U20,Asian Handicap,6491a99cb564a1c579c01b89,20 Jun 2023 14:30,"('Atletico Clube Goianiense U20 v Trindeyd U20', 84.8, 3)",Brazil Championship U20,20 Jun 2023 14:30,1687264200,458970096,Atletico Clube Goianiense U20 v Trindeyd U20
1.215353570,1687266000,1,XX,32422290,CAF African Nations Cup Qualifiers,Burundi v Namibia,Asian Handicap,6491a99cb564a1c579c01b9a,20 Jun 2023 15:00,"('Burundi v Namibia', 100.0, 6)",Africa Cup of Nations,20 Jun 2023 15:00,1687266000,458973077,Burundi v Namibia
1.215382742,1687264200,1,BR,32434635,Brazilian U20,Goias U20 v Vila Nova U20,Asian Handicap,6491a99cb564a1c579c01ba7,20 Jun 2023 14:30,"('Goias Esporte Clube U20 v Vila Nova U20', 88.0, 13)",Brazil Championship U20,20 Jun 2023 14:30,1687264200,458970093,Goias Esporte Clube U20 v Vila Nova U20
1.215382364,1687262400,1,AR,32434625,Argentinian U20,San Lorenzo U20 v Arsenal de Sarandi U20,Asian Handicap,6491a99cb564a1c579c01bb8,20 Jun 2023 14:00,"('San Lorenzo U20 v Arsenal de Sarandi U20', 100.0, 29)",Argentina Championship U20,20 Jun 2023 14:00,1687262400,458965422,San Lorenzo U20 v Arsenal de Sarandi U20
1.215382454,1687262400,1,AR,32434620,Argentinian U20,Tigre U20 v Newell's Old Boys U20,Asian Handicap,6491a99cb564a1c579c01bc4,20 Jun 2023 14:00,"('Club Atletico Tigre U20 v Newells Old Boys U20', 91.6, 8)",Argentina Championship U20,20 Jun 2023 14:00,1687262400,458965427,Club Atletico Tigre U20 v Newells Old Boys U20
1.215382274,1687262400,1,AR,32434626,Argentinian U20,Union de Santa Fe U20 v CA Huracan U20,Asian Handicap,6491a99cb564a1c579c01bd0,20 Jun 2023 14:00,"('Union de Santa Fe U20 v Huracan U20', 94.6, 33)",Argentina Championship U20,20 Jun 2023 14:00,1687262400,458964671,Union de Santa Fe U20 v Huracan U20
